id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
61,61,236269,,,,,0.011749,53.822146,178.8909,32.68,-16.70,0.0,8.860,2.597,K5,1.081,105.597675,0.324911,144.398682,0.00001160,0.00002838,-0.00000855,0.0030759083247195486,0.939373650566015,0.00000015843711080555558,-0.000000080963884,,,Cas,1,61,,7.965260797837783,,,
62,62,224800,,,,,0.011998,-45.422739,308.6420,4.02,-4.78,0.0,8.270,0.823,G8III,0.994,216.625621,0.680458,-219.847132,-0.00000511,0.00000600,-0.00000502,0.003141084533212135,-0.7927763477733137,0.000000019489509958333328,-0.000000023174093,,,Phe,1,62,,40.813139159697194,,,
63,63,224801,9080,,,,0.012119,45.253334,187.9699,17.38,0.22,-3.0,6.360,-0.010,B9p SiEu,-0.047,132.325125,0.419892,133.501154,-0.00000235,0.00001583,-0.00000204,0.003172863280404705,0.7898196673326625,0.00000008426061768055556,0.00000000106659,,,And,1,63,,87.90225168308842,CG,6.382,6.322
64,64,224798,,,,,0.012305,-27.907582,243.9024,-5.93,-14.59,0.0,8.080,1.144,K2III,1.156,215.536337,0.694330,-114.157726,-0.00000805,-0.00000704,-0.00001524,0.003221430442301502,-0.4870791839252563,-0.000000028749451256944443,-0.000000070734315,,,Scl,1,64,,30.366867884657843,,,
65,65,,,,,,0.012498,-54.830524,54.7046,-205.14,-75.34,0.0,11.000,7.310,,1.147,31.509513,0.102901,-44.718378,-0.00001615,-0.00005445,-0.00001151,0.003272083715637448,-0.9569731670129775,-0.0000009945467842916665,-0.000000365258626,,,Phe,1,65,,0.10375284158180126,,11.092,10.882
66,66,224790,,,,,0.012567,-72.318220,127.2265,-15.61,11.88,0.0,8.550,3.027,F2V,0.401,38.642308,0.127080,-121.216080,0.00000701,-0.00000960,0.00000223,0.003290139805114071,-1.2621910510361813,-0.00000007567941553472221,0.000000057595865,,,Tuc,1,66,,5.360434578161428,,,
67,67,224806,,,,,0.013288,23.538219,150.3759,91.05,-12.35,0.0,7.830,1.944,F5,0.495,137.862871,0.479653,60.054225,0.00000336,0.00006639,-0.00000825,0.003478835449991276,0.41081941609822126,0.00000044142285614583327,-0.000000059874489,,,Peg,1,67,,14.534496779183144,,,
68,68,224808,,,,,0.013360,16.988197,31.5856,-99.69,-315.90,-21.9,8.790,6.293,K0,0.940,30.206989,0.105644,9.228456,-0.00000723,-0.00001529,-0.00005280,0.003497534030866224,0.29649997414386003,-0.0000004833107581458334,-0.000001531526416,,,Peg,1,68,,0.26472807400175613,,,
69,69,224804,,,,,0.013427,30.395890,182.8154,16.48,-1.30,0.0,8.330,2.020,A0,0.135,157.686444,0.554335,92.499452,0.00000053,0.00001461,-0.00000099,0.0035152981013273615,0.5305083528524512,0.00000007989729455555557,-0.000000006302577,,,Peg,1,69,,13.551894123510356,,,
70,70,,,,,,0.013512,36.777637,168.3502,-46.78,-0.88,0.0,10.420,4.289,,0.706,134.841793,0.476944,100.793121,0.00000057,-0.00003818,-0.00000058,0.0035375425364020663,0.64189086066935,-0.0000002267958397638889,-0.00000000426636,,,And,1,70,,1.6764862660738973,,,
71,71,224803,,,,,0.013803,36.780106,136.9863,-24.50,-19.47,0.0,8.260,2.577,G5,0.846,109.716997,0.396439,82.019935,0.00000780,-0.00001624,-0.00001036,0.003613532680672309,0.6419339470592987,-0.00000011877935173611111,-0.000000094393223,,,And,1,71,,8.11334605228263,,,
72,72,224810,,,,,0.014661,-12.828961,87.8735,185.34,-119.65,0.0,8.970,4.251,G3/G5V,0.671,85.679304,0.328884,-19.511553,-0.00001162,0.00007891,-0.00004970,0.0038383323446609893,-0.22390760769621998,0.0000008985536755416667,-0.000000580079568,,,Cet,1,72,,1.736200991901417,,,
73,73,224826,,,,,0.014694,66.848011,280.1120,-20.78,18.19,-12.0,6.900,-0.337,K2,1.446,110.131222,0.423507,257.553115,-0.00002743,-0.00002832,-0.00000157,0.00384682048752533,1.16671788964157,-0.00000010074428281944444,0.000000088187608,,,Cep,1,73,,118.79550279416512,,,
74,74,,,,,,0.014817,35.752624,44.5236,157.73,-40.31,0.0,9.930,6.687,K5,1.068,36.132732,0.140219,26.014553,0.00000495,0.00003406,-0.00000706,0.0038791010954104775,0.6240010070015525,0.0000007646966183402777,-0.000000195428394,,,And,1,74,,0.18416199035246694,,9.998,9.888
75,75,224821,,,,,0.014882,-50.446459,641.0256,29.01,2.56,0.0,7.420,-1.614,K4III,1.524,408.201365,1.590705,-494.249872,0.00000578,0.00009017,0.00000507,0.00389614263892638,-0.8804568004017375,0.00000014064444872916668,0.00000001241123,,,Phe,1,75,,385.12348242893137,,,
76,76,,,,,,0.015214,32.825654,346.0208,-1.98,-8.45,0.0,9.030,1.334,M0,1.670,290.767266,1.158155,187.572518,0.00000770,-0.00000329,-0.00001191,0.003983096006029844,0.572915739540885,-0.000000009599310875,-0.000000040966756,,,And,1,76,,25.491770505091193,V401,9.079,8.979
77,77,224820,,,,,0.015371,-30.064166,208.7683,18.83,2.83,-1.0,8.410,1.812,A0V,0.022,180.680166,0.727112,-104.586559,0.00000047,0.00001906,0.00000299,0.004024159791140425,-0.5247186899480137,0.00000009129041604861111,0.000000013720227,,,Scl,1,77,,16.4134546670214,,,
78,78,224816,,,,,0.015487,17.867851,709.2199,-0.51,3.68,0.0,8.060,-1.194,K0,1.203,675.006346,2.736898,217.604708,-0.00000387,-0.00000177,0.00001204,0.004054603365189505,0.3118528271100013,-0.0000000024725497708333337,0.000000017841143,,,Peg,1,78,,261.57726827191084,,,
79,79,,,,,,0.015718,35.316720,271.0027,16.45,-13.81,0.0,8.690,1.525,F5,0.529,221.127909,0.909944,156.665514,0.00001040,0.00002165,-0.00001480,0.0041148358286914495,0.6163930491632712,0.0000000797518504513889,-0.000000066952769,,,And,1,79,,21.379620895022324,,,
80,80,224817,,,,,0.016187,-11.823739,73.0994,419.04,-82.83,-7.0,8.400,4.080,G2V,0.566,71.547716,0.303237,-14.978171,-0.00001365,0.00014844,-0.00002726,0.00423784317841125,-0.20636316674774624,0.0000020315632470000004,-0.000000401571171,,,Cet,1,80,,2.032357010936221,,,
81,81,224828,,,,,0.016228,-4.932534,43.7828,-184.70,-172.67,0.5,8.570,5.363,G5,0.642,43.620267,0.185316,-3.764562,-0.00000247,-0.00003921,-0.00003656,0.004248398804905122,-0.0860889648680925,-0.000000895450867986111,-0.000000837127782,,,Psc,1,81,,0.623447661105006,,,
82,82,,,,,,0.016534,-10.935963,100000.0000,-6.01,-65.06,0.0,9.500,-10.500,G5,1.107,98183.062891,425.008500,-18971.176274,-0.00597061,-0.00293935,-0.03096650,0.004328713048605738,-0.190868569923075,-0.000000029137302201388888,-0.00000031541978,,,Cet,1,82,,1380384.2646028867,,,
83,83,236274,,,,,0.016538,52.080562,543.4783,-2.10,-0.99,0.0,8.850,0.174,M0,1.726,333.993017,1.446094,428.736791,0.00000208,-0.00000552,-0.00000160,0.004329739915486198,0.9089772820030187,-0.000000010181087291666668,-0.000000004799655,,,Cas,1,83,,74.19933277899432,,,
84,84,,,,,,0.016824,27.886330,47.7783,225.55,-5.46,0.0,9.610,6.214,K0,0.852,42.229742,0.186052,22.346816,0.00000036,0.00005224,-0.00000112,0.0044044301009943145,0.4867082813802725,0.0000010934972564930555,-0.000000026470826,,,Peg,1,84,,0.2847082159799285,,,
85,85,,,,,,0.017075,-24.714048,304.8780,48.48,0.49,0.0,10.620,3.199,A2,0.359,276.950145,1.238095,-127.466385,-0.00000002,0.00007165,0.00000066,0.004470225579632917,-0.43134150521361375,0.00000023503767233333332,0.000000002375587,,,Cet,1,85,,4.575093773298475,,10.672,10.552
